Country,latitude,long
Morroco ,31.7917,-7.0926
Singapore,1.3521,103.8198
Thailand,15.87,100.9925
Austria ,47.5162,14.5501
Bulgaria,42.7339,25.4858
Croatia,45.1,15.2
Czechia,49.8175,15.473
France,46.2276,2.2137
Germany,51.1657,10.4515
Italy,41.8719,12.5674
Netherlands,52.1326,5.2913
Spain,40.4637,-3.7492
United Kingdom,55.3781,-3.436
Cayman Islands ,19.3133,-81.2546
England,52.3555,-1.1743
Scotland,56.4907,-4.2026
Ireland,53.1424,-7.6921
Switzerland,46.8182,8.2275
Hungary,47.1625,19.5033
Finland,61.9241,25.7482
Norway ,60.472,8.4689
Portugal,39.3999,-8.2245
Colombia,4.5709,-74.2973
Peru,-9.19,-75.0152
Belize,17.1899,-88.4976
Canada,56.1304,-106.3468
Costa Rica,9.7489,-83.7534
Grenada,12.1165,-61.679
Honduras,15.1999,-86.2419
Mexico,23.6345,-102.5528
Panama,8.538,-80.7821